Dataset,Modelo,Explicador,Node,Mean Fidelity,Std Fidelity,Min Fidelity,Max Fidelity
PubMed,GraphSAGE,GNNExplainer,15445.0,0.07538398106892903,0.026116963816890534,0.046005845069885254,0.10945957899093628
PubMed,GraphSAGE,GNNExplainer,16897.0,0.09907396634419759,0.03301274667587991,0.06222957372665405,0.1423282027244568
PubMed,GraphSAGE,GNNExplainer,12431.0,0.04534190893173218,0.023808835330516375,0.013572216033935547,0.07088625431060791
PubMed,GraphSAGE,GNNExplainer,1976.0,0.036929567654927574,0.02445348880811647,0.0023471713066101074,0.05427616834640503
PubMed,GraphSAGE,GNNExplainer,13475.0,0.01085821787516276,0.012511540914608656,0.0002931952476501465,0.028432726860046387
PubMed,GraphSAGE,GNNExplainer,9643.0,0.05945452054341634,0.014991297350950112,0.045415639877319336,0.08023226261138916
PubMed,GraphSAGE,GNNExplainer,669.0,0.01072007417678833,0.008636409077721351,0.0006678104400634766,0.021754145622253418
PubMed,GraphSAGE,GNNExplainer,628.0,0.07500966389973958,0.023929343112281384,0.04117649793624878,0.09256488084793091
PubMed,GraphSAGE,GNNExplainer,2144.0,0.027095953623453777,0.006804038287845993,0.017474353313446045,0.03201168775558472
PubMed,GraphSAGE,GNNExplainer,5005.0,0.06603715817133586,0.010472669937149829,0.05742943286895752,0.08077871799468994
Cora,GCN,GraphLIME,561.0,0.01047438383102417,0.002924346624304921,0.008008241653442383,0.014582574367523193
Cora,GCN,GraphLIME,102.0,0.00016005833943684897,0.00047664950903827886,-0.00032699108123779297,0.0008071660995483398
Cora,GCN,GraphLIME,1427.0,0.00010850032170613606,9.364978314681852e-05,0.0,0.00022852420806884766
Cora,GCN,GraphLIME,1278.0,0.011121928691864014,0.010251025923843726,0.0,0.024735987186431885
Cora,GCN,GraphLIME,1167.0,0.037473817666371666,0.08276456816821218,-0.02244788408279419,0.15450936555862427
Cora,GCN,GraphLIME,720.0,0.00020563602447509766,0.00015107035231312892,0.0,0.0003586411476135254
Cora,GCN,GraphLIME,510.0,0.007894436518351236,0.011164419191545757,0.0,0.02368330955505371
Cora,GCN,GraphLIME,421.0,0.0084913969039917,0.001326696028436121,0.0066294074058532715,0.00962221622467041
Cora,GCN,GraphLIME,2186.0,0.0,0.0,0.0,0.0
Cora,GCN,GraphLIME,130.0,0.000358124574025472,0.0002929524504852953,0.0,0.0007175803184509277
Cora,GCN,GraphLIME,122.0,-9.916226069132487e-05,1.7138958352441544e-05,-0.00012230873107910156,-8.13603401184082e-05
Cora,GCN,GraphLIME,456.0,-0.0006211201349894205,0.00045807244690431224,-0.0010910630226135254,0.0
Cora,GCN,GraphLIME,1147.0,0.0,0.0,0.0,0.0
Cora,GCN,GraphLIME,1212.0,0.062276870012283325,0.08807279419351738,0.0,0.18683061003684998
Cora,GCN,GraphLIME,2643.0,0.003253936767578125,0.0026219683439454755,0.0011870861053466797,0.00695347785949707
Cora,GCN,GraphLIME,108.0,-0.0005794763565063477,0.00019466699957407683,-0.0008115172386169434,-0.0003351569175720215
Cora,GCN,GraphLIME,1038.0,0.0,0.0,0.0,0.0
Cora,GCN,GraphLIME,2174.0,-0.023685803016026814,0.027665143516080196,-0.062368154525756836,0.0007344484329223633
Cora,GCN,GraphLIME,1154.0,0.0,0.0,0.0,0.0
Cora,GCN,GraphLIME,2328.0,-0.009115437666575113,0.0019065483721229066,-0.011655449867248535,-0.007062077522277832
